No service,Slow (<25 Mbps),Medium (25-99),Fast (100-199),Blazing (â‰¥200),major_city,state
0.0,1.0,0.0,0.0,0.0,Albuquerque,NM
0.0,0.11826672458731538,0.12565160729800173,0.7560816681146829,0.0,Atlanta,GA
0.0,1.0,0.0,0.0,0.0,Billings,MT
0.0,1.0,0.0,0.0,0.0,Boise,ID
0.0,0.29565772669220947,0.37452107279693486,0.32982120051085567,0.0,Charleston,SC
0.0,0.0863881224543424,0.1254105899356195,0.788201287610038,0.0,Charlotte,NC
0.0,1.0,0.0,0.0,0.0,Cheyenne,WY
0.0,0.21427288080779044,0.4600237162672033,0.32570340292500627,0.0,Chicago,IL
0.0,0.7683763331415675,0.0,0.23162366685843253,0.0,Columbus,OH
0.0,1.0,0.0,0.0,0.0,Denver,CO
0.0,1.0,0.0,0.0,0.0,Des Moines,IA
0.0,0.37880091070073363,0.4642044017202125,0.15699468757905388,0.0,Detroit,MI
0.0,1.0,0.0,0.0,0.0,Fargo,ND
0.0,0.11180705073834844,0.2725691046301733,0.6156238446314782,0.0,Houston,TX
0.0,0.09527579836368436,0.01583531274742676,0.8888888888888888,0.0,Huntsville,AL
0.0,0.2117426021606388,0.38139971817754814,0.4068576796618131,0.0,Indianapolis,IN
0.0,0.1629726919498714,0.3479450555464346,0.48908225250369397,0.0,Jacksonville,FL
0.0,0.41797836628123836,0.4114882506527415,0.17053338306602014,0.0,Kansas City,MO
0.0,0.988514419852448,0.011485580147551978,0.0,0.0,Las Vegas,NV
0.0,0.1708884688090737,0.24650283553875235,0.5826086956521739,0.0,Little Rock,AR
0.0,0.3377908882333661,0.26997705670272043,0.39223205506391345,0.0,Los Angeles,CA
0.0,0.17811021608489963,0.1444828027106508,0.6774069812044495,0.0,Louisville,KY
0.0,0.12316783055790038,0.3777914204589057,0.49904074898319395,0.0,Milwaukee,WI
0.0,0.22656155245603396,0.0,0.7734384475439661,0.0,Nashville,TN
0.0,0.6223880597014926,0.0016282225237449117,0.3759837177747625,0.0,New Orleans,LA
0.0,0.2758166105170646,0.1743811337337044,0.549802255749231,0.0,Oklahoma City,OK
0.0,1.0,0.0,0.0,0.0,Omaha,NE
0.0,1.0,0.0,0.0,0.0,Phoenix,AZ
0.0,1.0,0.0,0.0,0.0,Portland,OR
0.0,1.0,0.0,0.0,0.0,Salt Lake City,UT
0.0,1.0,0.0,0.0,0.0,Seattle,WA
0.0,1.0,0.0,0.0,0.0,Sioux Falls,SD
0.0,0.18509073075036783,0.251495831289848,0.5634134379597842,0.0,Wichita,KS
